x,y,u,dipole_moment_x,dipole_moment_y,dipole_moment_u
1280000.0,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1282105.2631578948,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1284210.5263157894,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1286315.7894736843,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1288421.0526315789,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1290526.3157894737,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1292631.5789473683,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1294736.8421052631,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1296842.105263158,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1298947.3684210526,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1301052.6315789474,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1303157.894736842,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1305263.1578947369,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1307368.4210526317,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1309473.6842105263,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1311578.9473684211,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1313684.2105263157,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1315789.4736842106,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1317894.7368421052,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1320000.0,3390000.0,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1280000.0,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1282105.2631578948,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1284210.5263157894,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1286315.7894736843,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1288421.0526315789,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1290526.3157894737,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1292631.5789473683,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1294736.8421052631,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1296842.105263158,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1298947.3684210526,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1301052.6315789474,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1303157.894736842,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1305263.1578947369,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1307368.4210526317,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1309473.6842105263,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1311578.9473684211,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1313684.2105263157,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1315789.4736842106,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1317894.7368421052,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1320000.0,3391052.6315789474,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1280000.0,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1282105.2631578948,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1284210.5263157894,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1286315.7894736843,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1288421.0526315789,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1290526.3157894737,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1292631.5789473683,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1294736.8421052631,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1296842.105263158,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1298947.3684210526,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1301052.6315789474,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1303157.894736842,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1305263.1578947369,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1307368.4210526317,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1309473.6842105263,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1311578.9473684211,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1313684.2105263157,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1315789.4736842106,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1317894.7368421052,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1320000.0,3392105.263157895,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1280000.0,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1282105.2631578948,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1284210.5263157894,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1286315.7894736843,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1288421.0526315789,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1290526.3157894737,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1292631.5789473683,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1294736.8421052631,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1296842.105263158,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1298947.3684210526,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1301052.6315789474,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1303157.894736842,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
1305263.1578947369,3393157.8947368423,-1000.0,1060660171.7798215,1060660171.7798218,2598076211.3533154
