easting,northing,upward,dipole_moments_easting,dipole_moments_northing,dipole_moments_upward
-20000.0,-5000.0,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19959.95995995996,-4982.982982982983,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19919.91991991992,-4965.965965965966,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19879.87987987988,-4948.948948948949,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19839.83983983984,-4931.931931931932,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19799.7997997998,-4914.914914914915,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19759.75975975976,-4897.897897897898,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19719.71971971972,-4880.880880880881,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19679.67967967968,-4863.863863863864,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19639.63963963964,-4846.846846846847,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19599.599599599598,-4829.82982982983,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19559.55955955956,-4812.812812812813,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19519.51951951952,-4795.795795795796,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19479.47947947948,-4778.778778778778,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19439.43943943944,-4761.761761761762,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19399.3993993994,-4744.744744744745,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19359.359359359358,-4727.727727727728,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19319.31931931932,-4710.71071071071,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19279.27927927928,-4693.693693693694,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19239.23923923924,-4676.676676676677,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19199.1991991992,-4659.659659659659,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19159.15915915916,-4642.642642642642,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19119.119119119117,-4625.625625625626,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19079.079079079078,-4608.608608608609,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-19039.03903903904,-4591.591591591591,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18998.998998999,-4574.574574574574,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18958.95895895896,-4557.557557557558,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18918.91891891892,-4540.540540540541,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18878.87887887888,-4523.523523523523,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18838.838838838838,-4506.506506506506,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18798.798798798798,-4489.48948948949,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18758.75875875876,-4472.472472472472,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18718.71871871872,-4455.455455455455,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18678.67867867868,-4438.438438438438,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18638.63863863864,-4421.421421421422,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18598.598598598597,-4404.404404404404,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18558.558558558558,-4387.387387387387,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18518.51851851852,-4370.37037037037,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18478.47847847848,-4353.353353353354,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18438.43843843844,-4336.336336336336,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18398.3983983984,-4319.319319319319,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18358.358358358357,-4302.302302302302,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18318.318318318317,-4285.285285285285,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18278.278278278278,-4268.268268268268,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18238.23823823824,-4251.251251251251,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18198.1981981982,-4234.2342342342345,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18158.15815815816,-4217.217217217217,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
-18118.118118118116,-4200.2002002002,0.0,29619813.27260239,17101007.166283447,-93969262.07859083
